"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Com essa funcionalidade iremos realizar o logout de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso clicar no campo ""Sair""
  Para o logout ser efetuado com sucesso","3160","Validar o logout na aplicação","","Tue May 20 00:41:32 GMT 2025","passed","Tue May 20 00:41:35 GMT 2025","","Logout","Validar o logout na aplicação",""
"  Com essa funcionalidade iremos realizar o login de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso inserir dados cadastrais
  Para o login ser efetuado com sucesso","5364","Validar o login na aplicação","","Tue May 20 00:41:27 GMT 2025","passed","Tue May 20 00:41:32 GMT 2025","","Login","Validar o login na aplicação",""
